product_id,brand_name,type_id,model,,os,best_price,screen_size,memory_size,battery_size,release_date,
302,ALCATEL,1,1 1/8GB Bluish Black (5033D-2JALUAA),screen_size : 5 ;  memory_size : 8 ; battery_size : 2000 ; os  :  Android,Android,1690,5,8,2000,Oct-20,
303,ALCATEL,1,1 5033D 1/16GB Volcano Black (5033D-2LALUAF),screen_size : 5 ;  memory_size : 16 ; battery_size : 2000 ; os  :  Android,Android,1803,5,16,2000,Sep-20,
304,ALCATEL,1,1 5033D 1/16GB Volcano Black (5033D-2LALUAF),screen_size : 5 ;  memory_size : 16 ; battery_size : 2000 ; os  :  Android,Android,1803,5,16,2000,Sep-20,
305,ALCATEL,1,1 5033D 1/16GB Volcano Black (5033D-2LALUAF),screen_size : 5 ;  memory_size : 16 ; battery_size : 2000 ; os  :  Android,Android,1803,5,16,2000,Sep-20,
306,Nokia,1,1.3 1/16GB Charcoal,screen_size : 5.71 ;  memory_size : 16 ; battery_size : 3000 ; os  :  Android,Android,1999,5.71,16,3000,Apr-20,
307,Honor,1,10 6/64GB Black,screen_size : 5.8 ;  memory_size : 64 ; battery_size : 3400 ; os  :  Android,Android,10865,5.8,64,3400,Jun-18,
308,Honor,1,10 Lite 3/32GB Blue,screen_size : 6.21 ;  memory_size : 32 ; battery_size : 3400 ; os  :  Android,Android,3999,6.21,32,3400,Dec-18,
309,Honor,1,10 Lite 4/64GB Black,screen_size : 6.21 ;  memory_size : 64 ; battery_size : 3400 ; os  :  Android,Android,4973,6.21,64,3400,Jan-19,
310,Honor,1,10 lite 3/128GB Blue,screen_size : 6.21 ;  memory_size : 128 ; battery_size : 3400 ; os  :  Android,Android,5100,6.21,128,3400,Jan-21,
311,Honor,1,10 lite 3/64GB Black,screen_size : 6.21 ;  memory_size : 64 ; battery_size : 3400 ; os  :  Android,Android,4948,6.21,64,3400,Dec-18,
312,Honor,1,10 lite 3/64GB Black,screen_size : 6.21 ;  memory_size : 64 ; battery_size : 3400 ; os  :  Android,Android,4948,6.21,64,3400,Dec-18,
313,Honor,1,10 lite 3/64GB Blue,screen_size : 6.21 ;  memory_size : 64 ; battery_size : 3400 ; os  :  Android,Android,5165,6.21,64,3400,Dec-18,
314,Nokia,1,105 DS 2019 Pink (16KIGP01A01),screen_size : 1.77 ;  memory_size : 0.004 ; battery_size : 800 ; os  :  ,,583,1.77,0.004,800,Oct-19,
315,Nokia,1,105 Dual Sim 2019 Black (16KIGB01A01),screen_size : 1.77 ;  memory_size :  ; battery_size : 800 ; os  :  ,,601,1.77,,800,Nov-19,
316,Nokia,1,105 Dual Sim 2019 Black (16KIGB01A01),screen_size : 1.77 ;  memory_size :  ; battery_size : 800 ; os  :  ,,601,1.77,,800,Nov-19,
317,Nokia,1,105 Dual Sim New Black (A00028315),screen_size : 1.8 ;  memory_size : 0.004 ; battery_size : 800 ; os  :  ,,552,1.8,0.004,800,Sep-17,
318,Nokia,1,105 Single Sim 2019 Black (16KIGB01A13),screen_size : 1.77 ;  memory_size :  ; battery_size : 800 ; os  :  ,,536,1.77,,800,Nov-19,
319,Nokia,1,105 Single Sim 2019 Pink (16KIGP01A13),screen_size : 1.77 ;  memory_size :  ; battery_size : 800 ; os  :  ,,547,1.77,,800,Nov-19,
320,Nokia,1,105 Single Sim New Black (A00028356),screen_size : 1.8 ;  memory_size : 0.004 ; battery_size : 800 ; os  :  ,,663,1.8,0.004,800,Sep-17,
321,Nokia,1,105 Single Sim New Black (A00028356),screen_size : 1.8 ;  memory_size : 0.004 ; battery_size : 800 ; os  :  ,,663,1.8,0.004,800,Sep-17,
322,Nokia,1,105 Single Sim New Blue (A00028372),screen_size : 1.8 ;  memory_size : 0.004 ; battery_size : 800 ; os  :  ,,474,1.8,0.004,800,Sep-17,
323,Nokia,1,105 Single Sim New White (A00028371),screen_size : 1.8 ;  memory_size : 0.004 ; battery_size : 800 ; os  :  ,,499,1.8,0.004,800,Sep-17,
324,Nokia,1,106 New DS Grey (16NEBD01A02),screen_size : 1.8 ;  memory_size :  ; battery_size : 800 ; os  :  ,,596,1.8,,800,Jan-19,
325,Nokia,1,106 New DS Grey (16NEBD01A02),screen_size : 1.8 ;  memory_size :  ; battery_size : 800 ; os  :  ,,596,1.8,,800,Jan-19,
